# MLB 2026 schedule - all clubs, all game types
# source: https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2026-01-01&endDate=2026-12-31&gameType=R,E,S,D,L,F,W,A
# retrieved_utc: 2026-09-21T23:19:36Z
# raw_sha256: 5549e82f9610e42c91cb45db9db1b5b88347c0666561bbd526705e3af23c4b4a
# games: 2973 (columns: date_local|start_utc|start_pt|start_et|time_tbd|game_type|away|home|away_id|home_id|venue|status|game_pk)
# time_tbd=true means the league has not published a first pitch; date_local is still official.
2026-02-23|2026-02-23T18:05:00Z|10:05|13:05|false|S|Atlanta Braves|Baltimore Orioles|144|110|Ed Smith Stadium|Final|831540
2026-02-23|2026-02-23T18:05:00Z|10:05|13:05|false|S|Boston Red Sox|Tampa Bay Rays|111|139|Charlotte Sports Park|Final|831652
2026-02-23|2026-02-23T18:05:00Z|10:05|13:05|false|S|Miami Marlins|St. Louis Cardinals|146|138|Roger Dean Chevrolet Stadium|Final|831485
2026-02-23|2026-02-23T18:05:00Z|10:05|13:05|false|S|Minnesota Twins|Detroit Tigers|142|116|Publix Field at Joker Marchant Stadium|Final|831658
2026-02-23|2026-02-23T18:05:00Z|10:05|13:05|false|S|New York Yankees|Pittsburgh Pirates|147|134|LECOM Park|Final|831595
2026-02-23|2026-02-23T18:07:00Z|10:07|13:07|false|S|New York Mets|Toronto Blue Jays|121|141|TD Ballpark|Final|831539
2026-02-23|2026-02-23T20:05:00Z|12:05|15:05|false|S|Arizona Diamondbacks|Cleveland Guardians|109|114|Goodyear Ballpark|Final|831955
2026-02-23|2026-02-23T20:05:00Z|12:05|15:05|false|S|Athletics|San Francisco Giants|133|137|Scottsdale Stadium|Final|831939
2026-02-23|2026-02-23T20:05:00Z|12:05|15:05|false|S|Chicago Cubs|Kansas City Royals|112|118|Surprise Stadium|Final|831927
2026-02-23|2026-02-23T20:05:00Z|12:05|15:05|false|S|Seattle Mariners|Los Angeles Dodgers|136|119|Camelback Ranch|Final|831745
2026-02-23|2026-02-23T20:10:00Z|12:10|15:10|false|S|Chicago White Sox|Colorado Rockies|145|115|Salt River Fields at Talking Stick|Final|831912
2026-02-23|2026-02-23T20:10:00Z|12:10|15:10|false|S|Milwaukee Brewers|San Diego Padres|158|135|Peoria Stadium|Final|831783
2026-02-23|2026-02-23T20:10:00Z|12:10|15:10|false|S|Texas Rangers|Los Angeles Angels|140|108|Tempe Diablo Stadium|Final|831724
2026-02-23|2026-02-23T23:05:00Z|15:05|18:05|false|S|Philadelphia Phillies|Washington Nationals|143|120|CACTI Park of the Palm Beaches|Final|831483
2026-02-24|2026-02-24T18:05:00Z|10:05|13:05|false|S|Baltimore Orioles|Minnesota Twins|110|142|Lee Health Sports Complex|Final|831651
2026-02-24|2026-02-24T18:05:00Z|10:05|13:05|false|S|Detroit Tigers|Atlanta Braves|116|144|CoolToday Park|Final|831594
2026-02-24|2026-02-24T18:05:00Z|10:05|13:05|false|S|Minnesota Twins|Tampa Bay Rays|142|139|Charlotte Sports Park|Final|831650
2026-02-24|2026-02-24T18:05:00Z|10:05|13:05|false|S|Pittsburgh Pirates|Boston Red Sox|134|111|JetBlue Park|Final|831534
2026-02-24|2026-02-24T18:07:00Z|10:07|13:07|false|S|New York Yankees|Toronto Blue Jays|147|141|TD Ballpark|Final|831649
2026-02-24|2026-02-24T18:10:00Z|10:10|13:10|false|S|Houston Astros|New York Mets|117|121|Clover Park|Final|831593
2026-02-24|2026-02-24T18:10:00Z|10:10|13:10|false|S|Philadelphia Phillies|Miami Marlins|143|146|Roger Dean Chevrolet Stadium|Final|831489
2026-02-24|2026-02-24T20:05:00Z|12:05|15:05|false|S|Arizona Diamondbacks|Texas Rangers|109|140|Surprise Stadium|Final|831951
2026-02-24|2026-02-24T20:05:00Z|12:05|15:05|false|S|Cleveland Guardians|Los Angeles Dodgers|114|119|Camelback Ranch|Final|831876
2026-02-24|2026-02-24T20:05:00Z|12:05|15:05|false|S|Kansas City Royals|Cincinnati Reds|118|113|Goodyear Ballpark|Final|831847
2026-02-24|2026-02-24T20:05:00Z|12:05|15:05|false|S|Milwaukee Brewers|Athletics|158|133|Hohokam Stadium|Final|831797
2026-02-24|2026-02-24T20:05:00Z|12:05|15:05|false|S|San Diego Padres|Chicago Cubs|135|112|Sloan Park|Final|831781
2026-02-24|2026-02-24T20:10:00Z|12:10|15:10|false|S|Chicago White Sox|Seattle Mariners|145|136|Peoria Stadium|Final|831906
2026-02-24|2026-02-24T20:10:00Z|12:10|15:10|false|S|Los Angeles Angels|Colorado Rockies|108|115|Salt River Fields at Talking Stick|Final|831825
2026-02-24|2026-02-24T20:10:00Z|12:10|15:10|false|S|San Francisco Giants|Los Angeles Angels|137|108|Tempe Diablo Stadium|Final|832060
2026-02-24|2026-02-24T23:05:00Z|15:05|18:05|false|S|St. Louis Cardinals|Washington Nationals|138|120|CACTI Park of the Palm Beaches|Final|831491
2026-02-25|2026-02-25T18:05:00Z|10:05|13:05|false|S|Boston Red Sox|Minnesota Twins|111|142|Lee Health Sports Complex|Final|831645
2026-02-25|2026-02-25T18:05:00Z|10:05|13:05|false|S|Detroit Tigers|Philadelphia Phillies|116|143|BayCare Ballpark|Final|831591
2026-02-25|2026-02-25T18:05:00Z|10:05|13:05|false|S|Pittsburgh Pirates|Atlanta Braves|134|144|CoolToday Park|Final|831490
2026-02-25|2026-02-25T18:05:00Z|10:05|13:05|false|S|Tampa Bay Rays|Baltimore Orioles|139|110|Ed Smith Stadium|Final|831653
2026-02-25|2026-02-25T18:05:00Z|10:05|13:05|false|S|Toronto Blue Jays|Detroit Tigers|141|116|Publix Field at Joker Marchant Stadium|Final|831647
2026-02-25|2026-02-25T18:10:00Z|10:10|13:10|false|S|Houston Astros|Miami Marlins|117|146|Roger Dean Chevrolet Stadium|Final|831584
2026-02-25|2026-02-25T18:10:00Z|10:10|13:10|false|S|St. Louis Cardinals|New York Mets|138|121|Clover Park|Final|831488
2026-02-25|2026-02-25T20:05:00Z|12:05|15:05|false|S|Cincinnati Reds|Chicago White Sox|113|145|Camelback Ranch|Final|831901
2026-02-25|2026-02-25T20:05:00Z|12:05|15:05|false|S|Colorado Rockies|Chicago Cubs|115|112|Sloan Park|Final|831870
2026-02-25|2026-02-25T20:05:00Z|12:05|15:05|false|S|Seattle Mariners|Kansas City Royals|136|118|Surprise Stadium|Final|831741
2026-02-25|2026-02-25T20:05:00Z|12:05|15:05|false|S|Texas Rangers|Cleveland Guardians|140|114|Goodyear Ballpark|Final|831730
