# MLB 2027 schedule - all clubs, all game types
# source: https://statsapi.mlb.com/api/v1/schedule?sportId=1&startDate=2027-01-01&endDate=2027-12-31&gameType=R,E,S,D,L,F,W,A
# retrieved_utc: 2026-09-24T17:54:16Z
# raw_sha256: 47400a178ff91701f9a79c369a6f757807a4b94eb128d470e0185c49e10806e6
# games: 2900 (columns: date_local|start_utc|start_pt|start_et|time_tbd|game_type|away|home|away_id|home_id|venue|status|game_pk)
# time_tbd=true means the league has not published a first pitch; date_local is still official.
2027-02-21||TBD|TBD|true|S|Texas Rangers|San Francisco Giants|140|137|Scottsdale Stadium|Scheduled|868317
2027-02-21||TBD|TBD|true|S|Toronto Blue Jays|Detroit Tigers|141|116|Publix Field at Joker Marchant Stadium|Scheduled|868564
2027-02-22||TBD|TBD|true|S|Boston Red Sox|Baltimore Orioles|111|110|Ed Smith Stadium|Scheduled|868551
2027-02-22||TBD|TBD|true|S|Chicago Cubs|Arizona Diamondbacks|112|109|Salt River Fields at Talking Stick|Scheduled|868320
2027-02-22||TBD|TBD|true|S|Cleveland Guardians|Texas Rangers|114|140|Surprise Stadium|Scheduled|868321
2027-02-22||TBD|TBD|true|S|Colorado Rockies|Athletics|115|133|Hohokam Stadium|Scheduled|868315
2027-02-22||TBD|TBD|true|S|Detroit Tigers|New York Yankees|116|147|George M. Steinbrenner Field|Scheduled|868543
2027-02-22||TBD|TBD|true|S|Kansas City Royals|Cincinnati Reds|118|113|Goodyear Ballpark|Scheduled|868314
2027-02-22||TBD|TBD|true|S|Los Angeles Dodgers|Los Angeles Angels|119|108|Tempe Diablo Stadium|Scheduled|868325
2027-02-22||TBD|TBD|true|S|New York Mets|Houston Astros|121|117|CACTI Park of the Palm Beaches|Scheduled|868546
2027-02-22||TBD|TBD|true|S|Philadelphia Phillies|Minnesota Twins|143|142|Lee Health Sports Complex|Scheduled|868544
2027-02-22||TBD|TBD|true|S|Pittsburgh Pirates|Toronto Blue Jays|134|141|TD Ballpark|Scheduled|868549
2027-02-22||TBD|TBD|true|S|San Francisco Giants|San Diego Padres|137|135|Peoria Stadium|Scheduled|868324
2027-02-22||TBD|TBD|true|S|Seattle Mariners|Chicago White Sox|136|145|Camelback Ranch|Scheduled|868323
2027-02-22||TBD|TBD|true|S|St. Louis Cardinals|Boston Red Sox|138|111|JetBlue Park|Scheduled|868550
2027-02-22||TBD|TBD|true|S|Tampa Bay Rays|Atlanta Braves|139|144|CoolToday Park|Scheduled|868552
2027-02-22||TBD|TBD|true|S|Texas Rangers|Milwaukee Brewers|140|158|American Family Fields of Phoenix|Scheduled|868322
2027-02-22||TBD|TBD|true|S|Washington Nationals|Miami Marlins|120|146|Roger Dean Chevrolet Stadium|Scheduled|868545
2027-02-23||TBD|TBD|true|S|Athletics|Seattle Mariners|133|136|Peoria Stadium|Scheduled|868304
2027-02-23||TBD|TBD|true|S|Atlanta Braves|Pittsburgh Pirates|144|134|LECOM Park|Scheduled|868531
2027-02-23||TBD|TBD|true|S|Baltimore Orioles|Toronto Blue Jays|110|141|TD Ballpark|Scheduled|868534
2027-02-23||TBD|TBD|true|S|Chicago White Sox|Chicago Cubs|145|112|Sloan Park|Scheduled|868306
2027-02-23||TBD|TBD|true|S|Colorado Rockies|Los Angeles Dodgers|115|119|Camelback Ranch|Scheduled|868302
2027-02-23||TBD|TBD|true|S|Houston Astros|Detroit Tigers|117|116|Publix Field at Joker Marchant Stadium|Scheduled|868548
2027-02-23||TBD|TBD|true|S|Kansas City Royals|Arizona Diamondbacks|118|109|Salt River Fields at Talking Stick|Scheduled|868303
2027-02-23||TBD|TBD|true|S|Los Angeles Angels|San Francisco Giants|108|137|Scottsdale Stadium|Scheduled|868316
2027-02-23||TBD|TBD|true|S|Miami Marlins|New York Mets|146|121|Clover Park|Scheduled|868530
2027-02-23||TBD|TBD|true|S|Milwaukee Brewers|Cleveland Guardians|158|114|Goodyear Ballpark|Scheduled|868307
2027-02-23||TBD|TBD|true|S|Minnesota Twins|Washington Nationals|142|120|CACTI Park of the Palm Beaches|Scheduled|868529
